surface,value,row_count
service_providers.sector_tags,(all 95 rows have empty sector_tags; sector_agnostic=true on all 95),0
community_members.sector_tags,government-administration,55
community_members.sector_tags,technology-information-and-media,44
community_members.sector_tags,financial-services,36
community_members.sector_tags,professional-services,15
community_members.sector_tags,administrative-and-support-services,4
community_members.sector_tags,farming-ranching-forestry,3
community_members.sector_tags,entertainment-providers,2
community_members.sector_tags,real-estate-and-equipment-rental-services,1
events.sector_tags,technology-information-and-media,26
events.sector_tags,financial-services,12
events.sector_tags,professional-services,12
events.sector_tags,oil-gas-and-mining,11
events.sector_tags,hospitals-and-health-care,8
events.sector_tags,farming-ranching-forestry,6
events.sector_tags,manufacturing,5
events.sector_tags,real-estate-and-equipment-rental-services,4
events.sector_tags,utilities,4
events.sector_tags,government-administration,4
events.sector_tags,construction,4
events.sector_tags,transportation-logistics-supply-chain-and-storage,4
events.sector_tags,administrative-and-support-services,3
events.sector_tags,retail,2
events.sector_tags,accommodation-and-food-services,2
events.sector_tags,education,1
content_items.sector_tags,technology-information-and-media,51
content_items.sector_tags,financial-services,20
content_items.sector_tags,government-administration,8
content_items.sector_tags,professional-services,7
content_items.sector_tags,administrative-and-support-services,5
content_items.sector_tags,retail,4
content_items.sector_tags,education,4
content_items.sector_tags,hospitals-and-health-care,2
content_items.sector_tags,accommodation-and-food-services,2
content_items.sector_tags,entertainment-providers,2
content_items.sector_tags,utilities,2
content_items.sector_tags,construction,1
content_items.sector_tags,wholesale,1
content_items.sector_tags,farming-ranching-forestry,1
content_items.sector_tags,real-estate-and-equipment-rental-services,1
content_items.sector_tags,transportation-logistics-supply-chain-and-storage,1
innovation_ecosystem.sector_tags,technology-information-and-media,76
innovation_ecosystem.sector_tags,professional-services,54
innovation_ecosystem.sector_tags,manufacturing,33
innovation_ecosystem.sector_tags,government-administration,31
innovation_ecosystem.sector_tags,utilities,26
innovation_ecosystem.sector_tags,financial-services,26
innovation_ecosystem.sector_tags,education,20
innovation_ecosystem.sector_tags,hospitals-and-health-care,17
innovation_ecosystem.sector_tags,construction,14
innovation_ecosystem.sector_tags,oil-gas-and-mining,13
innovation_ecosystem.sector_tags,farming-ranching-forestry,12
innovation_ecosystem.sector_tags,transportation-logistics-supply-chain-and-storage,6
innovation_ecosystem.sector_tags,accommodation-and-food-services,5
innovation_ecosystem.sector_tags,real-estate-and-equipment-rental-services,4
innovation_ecosystem.sector_tags,retail,2
innovation_ecosystem.sector_tags,administrative-and-support-services,2
innovation_ecosystem.sector_tags,entertainment-providers,2
investors.sector_tags,technology-information-and-media,387
investors.sector_tags,retail,149
investors.sector_tags,financial-services,131
investors.sector_tags,hospitals-and-health-care,115
investors.sector_tags,utilities,101
investors.sector_tags,manufacturing,89
investors.sector_tags,professional-services,79
investors.sector_tags,education,60
investors.sector_tags,farming-ranching-forestry,30
investors.sector_tags,real-estate-and-equipment-rental-services,26
investors.sector_tags,oil-gas-and-mining,26
investors.sector_tags,construction,25
investors.sector_tags,transportation-logistics-supply-chain-and-storage,19
investors.sector_tags,government-administration,18
investors.sector_tags,accommodation-and-food-services,16
investors.sector_tags,entertainment-providers,14
investors.sector_tags,administrative-and-support-services,4
leads.sector_tags,technology-information-and-media,3
leads.sector_tags,financial-services,2
leads.sector_tags,retail,1
leads.sector_tags,professional-services,1
leads.sector_tags,construction,1
leads.sector_tags,hospitals-and-health-care,1
trade_investment_agencies.sector_tags,technology-information-and-media,42
trade_investment_agencies.sector_tags,manufacturing,40
trade_investment_agencies.sector_tags,financial-services,27
trade_investment_agencies.sector_tags,professional-services,26
trade_investment_agencies.sector_tags,accommodation-and-food-services,25
trade_investment_agencies.sector_tags,oil-gas-and-mining,23
trade_investment_agencies.sector_tags,utilities,18
trade_investment_agencies.sector_tags,government-administration,14
trade_investment_agencies.sector_tags,hospitals-and-health-care,14
trade_investment_agencies.sector_tags,education,13
trade_investment_agencies.sector_tags,farming-ranching-forestry,13
trade_investment_agencies.sector_tags,construction,11
trade_investment_agencies.sector_tags,consumer-services,8
trade_investment_agencies.sector_tags,entertainment-providers,5
trade_investment_agencies.sector_tags,transportation-logistics-supply-chain-and-storage,1
